TIME,Average of RES,PID
2021-11-12 12:34:35,148,175802
2021-11-12 12:34:35,137.7,175803
2021-11-12 12:34:35,298.4,175804
2021-11-12 12:35:05,141.2,175801
2021-11-12 12:35:05,1300,175802
2021-11-12 12:35:05,2900,175803
2021-11-12 12:35:05,301.2,175804
2021-11-12 12:35:35,162.3,175801
2021-11-12 12:35:35,3400,175802
2021-11-12 12:35:35,3300,175803
2021-11-12 12:35:35,304.1,175804
2021-11-12 12:36:06,175.1,175801
2021-11-12 12:36:06,3500,175802
2021-11-12 12:36:06,3400,175803
2021-11-12 12:36:06,337.4,175804
2021-11-12 12:36:36,186.4,175801
2021-11-12 12:36:36,3500,175802
2021-11-12 12:36:36,3400,175803
2021-11-12 12:36:36,340.7,175804
2021-11-12 12:37:06,200.3,175801
2021-11-12 12:37:06,3500,175802
2021-11-12 12:37:06,3400,175803
2021-11-12 12:37:06,381.9,175804
2021-11-12 12:37:36,213.3,175801
2021-11-12 12:37:36,3800,175802
2021-11-12 12:37:36,3400,175803
2021-11-12 12:37:36,350.7,175804
2021-11-12 12:38:06,229.5,175801
2021-11-12 12:38:06,3500,175802
2021-11-12 12:38:06,3500,175803
2021-11-12 12:38:06,395.8,175804
2021-11-12 12:38:36,244,175801
2021-11-12 12:38:36,3600,175802
2021-11-12 12:38:36,3500,175803
2021-11-12 12:38:36,360.8,175804
2021-11-12 12:39:06,255.2,175801
2021-11-12 12:39:06,3600,175802
2021-11-12 12:39:06,3500,175803
2021-11-12 12:39:06,366.9,175804
2021-11-12 12:39:37,265.1,175801
2021-11-12 12:39:37,3600,175802
2021-11-12 12:39:37,3600,175803
2021-11-12 12:39:37,373.5,175804
2021-11-12 12:40:07,276.8,175801
2021-11-12 12:40:07,3700,175802
2021-11-12 12:40:07,3600,175803
2021-11-12 12:40:07,380.7,175804
2021-11-12 12:40:37,290,175801
2021-11-12 12:40:37,4400,175802
2021-11-12 12:40:37,3600,175803
2021-11-12 12:40:37,389.2,175804
2021-11-12 12:41:07,300.4,175801
2021-11-12 12:41:07,4400,175802
2021-11-12 12:41:07,3600,175803
2021-11-12 12:41:07,395.8,175804
2021-11-12 12:41:37,316.3,175801
2021-11-12 12:41:37,4400,175802
2021-11-12 12:41:37,3600,175803
2021-11-12 12:41:37,405.5,175804
2021-11-12 12:42:07,323.5,175801
2021-11-12 12:42:07,3700,175802
2021-11-12 12:42:07,3600,175803
2021-11-12 12:42:07,412.2,175804
2021-11-12 12:42:38,329.5,175801
2021-11-12 12:42:38,3800,175802
2021-11-12 12:42:38,4300,175803
2021-11-12 12:42:38,421.2,175804
2021-11-12 12:43:08,341.2,175801
2021-11-12 12:43:08,3700,175802
2021-11-12 12:43:08,4300,175803
2021-11-12 12:43:08,430.9,175804
2021-11-12 12:43:38,351.4,175801
2021-11-12 12:43:38,4200,175802
2021-11-12 12:43:38,3700,175803
2021-11-12 12:43:38,436.6,175804
2021-11-12 12:44:08,361.2,175801
2021-11-12 12:44:08,3700,175802
2021-11-12 12:44:08,3700,175803
2021-11-12 12:44:08,441.9,175804
2021-11-12 12:44:38,402.3,175801
2021-11-12 12:44:38,3700,175802
2021-11-12 12:44:38,3700,175803
2021-11-12 12:44:38,472.5,175804
2021-11-12 12:45:08,379.4,175801
2021-11-12 12:45:08,4400,175802
2021-11-12 12:45:08,3700,175803
2021-11-12 12:45:08,476.9,175804
2021-11-12 12:45:39,425.4,175801
2021-11-12 12:45:39,3700,175802
2021-11-12 12:45:39,3700,175803
2021-11-12 12:45:39,545.5,175804
2021-11-12 12:46:09,398.5,175801
2021-11-12 12:46:09,4400,175802
2021-11-12 12:46:09,3700,175803
2021-11-12 12:46:09,486.6,175804
2021-11-12 12:46:39,407,175801
2021-11-12 12:46:39,3800,175802
2021-11-12 12:46:39,3700,175803
2021-11-12 12:46:39,552.5,175804
2021-11-12 12:47:09,416.8,175801
2021-11-12 12:47:09,4400,175802
2021-11-12 12:47:09,3700,175803
2021-11-12 12:47:09,498.4,175804
2021-11-12 12:47:39,424.9,175801
2021-11-12 12:47:39,3800,175802
2021-11-12 12:47:39,3700,175803
2021-11-12 12:47:39,504.6,175804
2021-11-12 12:48:09,433.5,175801
2021-11-12 12:48:09,3800,175802
2021-11-12 12:48:09,3700,175803
2021-11-12 12:48:09,511.1,175804
2021-11-12 12:48:40,441.6,175801
2021-11-12 12:48:40,3800,175802
2021-11-12 12:48:40,3700,175803
2021-11-12 12:48:40,518.2,175804
2021-11-12 12:49:10,453.1,175801
2021-11-12 12:49:10,3800,175802
2021-11-12 12:49:10,4200,175803
2021-11-12 12:49:10,523.5,175804
2021-11-12 12:49:40,460.4,175801
2021-11-12 12:49:40,3800,175802
2021-11-12 12:49:40,3800,175803
2021-11-12 12:49:40,530.4,175804
2021-11-12 12:50:10,483.1,175801
2021-11-12 12:50:10,3900,175802
2021-11-12 12:50:10,3800,175803
2021-11-12 12:50:10,536,175804
2021-11-12 12:50:40,495.4,175801
2021-11-12 12:50:40,3900,175802
2021-11-12 12:50:40,3800,175803
2021-11-12 12:50:40,569.7,175804
2021-11-12 12:51:10,501.7,175801
2021-11-12 12:51:10,3900,175802
2021-11-12 12:51:10,4500,175803
2021-11-12 12:51:10,546.1,175804
2021-11-12 12:51:40,510.8,175801
2021-11-12 12:51:40,4600,175802
2021-11-12 12:51:40,3800,175803
2021-11-12 12:51:40,559.7,175804
2021-11-12 12:52:11,519.3,175801
2021-11-12 12:52:11,3900,175802
2021-11-12 12:52:11,3800,175803
2021-11-12 12:52:11,565.3,175804
2021-11-12 12:52:41,530.9,175801
2021-11-12 12:52:41,3900,175802
2021-11-12 12:52:41,3900,175803
2021-11-12 12:52:41,570.7,175804
2021-11-12 12:53:11,543,175801
2021-11-12 12:53:11,3900,175802
2021-11-12 12:53:11,3900,175803
2021-11-12 12:53:11,576.6,175804
2021-11-12 12:53:41,553.6,175801
2021-11-12 12:53:41,3900,175802
2021-11-12 12:53:41,3900,175803
2021-11-12 12:53:41,666.8,175804
2021-11-12 12:54:11,564.6,175801
2021-11-12 12:54:11,3900,175802
2021-11-12 12:54:11,3900,175803
2021-11-12 12:54:11,587.8,175804
2021-11-12 12:54:41,573.2,175801
2021-11-12 12:54:41,4000,175802
2021-11-12 12:54:41,3900,175803
2021-11-12 12:54:41,593.2,175804
2021-11-12 12:55:12,583.1,175801
2021-11-12 12:55:12,4000,175802
2021-11-12 12:55:12,3900,175803
2021-11-12 12:55:12,598,175804
2021-11-12 12:55:42,588.4,175801
2021-11-12 12:55:42,4000,175802
2021-11-12 12:55:42,4000,175803
2021-11-12 12:55:42,601.4,175804
2021-11-12 12:56:12,596.8,175801
2021-11-12 12:56:12,4100,175802
2021-11-12 12:56:12,4000,175803
2021-11-12 12:56:12,672.5,175804
2021-11-12 12:56:42,604.5,175801
2021-11-12 12:56:42,4000,175802
2021-11-12 12:56:42,4000,175803
2021-11-12 12:56:42,701.1,175804
2021-11-12 12:57:12,611.8,175801
2021-11-12 12:57:12,4700,175802
2021-11-12 12:57:12,4000,175803
2021-11-12 12:57:12,615.8,175804
2021-11-12 12:57:42,641.7,175801
2021-11-12 12:57:42,4400,175802
2021-11-12 12:57:42,4000,175803
2021-11-12 12:57:42,624.8,175804
2021-11-12 12:58:13,646.2,175801
2021-11-12 12:58:13,4000,175802
2021-11-12 12:58:13,4000,175803
2021-11-12 12:58:13,655,175804
2021-11-12 12:58:43,648.2,175801
2021-11-12 12:58:43,4000,175802
2021-11-12 12:58:43,4000,175803
2021-11-12 12:58:43,647.6,175804
2021-11-12 12:59:13,709.2,175801
2021-11-12 12:59:13,4000,175802
2021-11-12 12:59:13,4100,175803
2021-11-12 12:59:13,650.2,175804
2021-11-12 12:59:43,657.6,175801
2021-11-12 12:59:43,4700,175802
2021-11-12 12:59:43,4100,175803
2021-11-12 12:59:43,651.4,175804
2021-11-12 13:00:13,667.8,175801
2021-11-12 13:00:13,4100,175802
2021-11-12 13:00:13,4100,175803
2021-11-12 13:00:13,658,175804
2021-11-12 13:00:43,672.5,175801
2021-11-12 13:00:43,4100,175802
2021-11-12 13:00:43,4100,175803
2021-11-12 13:00:43,660.3,175804
2021-11-12 13:01:13,681.4,175801
2021-11-12 13:01:13,4100,175802
2021-11-12 13:01:13,4100,175803
2021-11-12 13:01:13,662,175804
2021-11-12 13:01:44,685,175801
2021-11-12 13:01:44,4100,175802
2021-11-12 13:01:44,4100,175803
2021-11-12 13:01:44,759,175804
2021-11-12 13:02:14,692.4,175801
2021-11-12 13:02:14,4200,175802
2021-11-12 13:02:14,4100,175803
2021-11-12 13:02:14,666.6,175804
2021-11-12 13:02:44,698.6,175801
2021-11-12 13:02:44,4200,175802
