TIME,RES
2021-11-16 09:38:32,100
2021-11-16 09:39:03,3200
2021-11-16 09:39:33,3400
2021-11-16 09:40:03,3400
2021-11-16 09:40:33,3400
2021-11-16 09:41:03,3500
2021-11-16 09:41:33,3500
2021-11-16 09:42:04,3600
2021-11-16 09:42:34,3600
2021-11-16 09:43:04,3600
2021-11-16 09:43:34,3600
2021-11-16 09:44:04,3700
2021-11-16 09:44:34,3700
2021-11-16 09:45:04,3700
2021-11-16 09:45:35,3700
2021-11-16 09:46:05,3700
2021-11-16 09:46:35,3700
2021-11-16 09:47:05,3700
2021-11-16 09:47:35,3900
2021-11-16 09:48:05,3700
2021-11-16 09:48:36,3800
2021-11-16 09:49:06,3800
2021-11-16 09:49:36,3800
2021-11-16 09:50:06,3800
2021-11-16 09:50:36,3800
2021-11-16 09:51:06,3900
2021-11-16 09:51:37,3900
2021-11-16 09:52:07,4500
2021-11-16 09:52:37,3900
2021-11-16 09:53:07,4600
2021-11-16 09:53:37,4000
2021-11-16 09:54:07,4000
2021-11-16 09:54:37,4100
2021-11-16 09:55:08,4100
2021-11-16 09:55:38,4100
2021-11-16 09:56:08,4100
2021-11-16 09:56:38,4100
2021-11-16 09:57:08,4100
2021-11-16 09:57:38,4100
2021-11-16 09:58:09,4100
2021-11-16 09:58:39,4100
2021-11-16 09:59:09,4100
2021-11-16 09:59:39,4100
2021-11-16 10:00:09,4100
2021-11-16 10:00:39,4100
2021-11-16 10:01:10,4100
2021-11-16 10:01:40,4100
2021-11-16 10:02:10,4100
2021-11-16 10:02:40,4100
2021-11-16 10:03:10,4100
2021-11-16 10:03:40,4100
2021-11-16 10:04:10,4100
2021-11-16 10:04:41,4100
2021-11-16 10:05:11,4100
2021-11-16 10:05:41,4100
2021-11-16 10:06:11,4100
2021-11-16 10:06:41,4100
2021-11-16 10:07:11,4100
2021-11-16 10:07:42,4100
2021-11-16 10:08:12,4100
2021-11-16 10:08:42,4100
2021-11-16 10:09:12,4100
2021-11-16 10:09:42,4100
2021-11-16 10:10:12,4100
2021-11-16 10:10:42,4100
2021-11-16 10:11:13,4100
2021-11-16 10:11:43,4100
2021-11-16 10:12:13,4100
2021-11-16 10:12:43,4100
2021-11-16 10:13:13,4100
2021-11-16 10:13:43,4100
2021-11-16 10:14:14,4100
2021-11-16 10:14:44,4100
2021-11-16 10:15:14,4100
2021-11-16 10:15:44,4100
2021-11-16 10:16:14,4100
2021-11-16 10:16:44,4100
2021-11-16 10:17:15,4100
2021-11-16 10:17:45,4100
2021-11-16 10:18:15,4100
2021-11-16 10:18:45,4100
2021-11-16 10:19:15,4100
2021-11-16 10:19:45,4100
2021-11-16 10:20:15,4100
2021-11-16 10:20:46,4800
2021-11-16 10:21:16,4800
