    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:27:58+01:00
 173601  892.6m 853.0m  13.1m  93.8   5.4    2021-11-12T12:27:58+01:00
 173603  418.3m 328.3m  13.6m 106.2   2.1    2021-11-12T12:27:58+01:00
 173604  336.3m 306.6m  13.3m 100.0   1.9    2021-11-12T12:27:58+01:00
 173533   22.3g 169.9m  56.2m   0.0   1.1    2021-11-12T12:27:58+01:00
 173576 4035.8m 146.7m  27.4m   0.0   0.9    2021-11-12T12:27:58+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:28:03+01:00
 173601 1304.9m   1.2g  13.1m 100.0   7.8    2021-11-12T12:28:03+01:00
 173604  731.4m 690.9m  13.3m 100.0   4.3    2021-11-12T12:28:03+01:00
 173603  418.8m 328.9m  13.6m 126.7   2.1    2021-11-12T12:28:03+01:00
 173533   22.3g 169.9m  56.2m   0.0   1.1    2021-11-12T12:28:03+01:00
 173576 4035.8m 146.7m  27.4m   0.0   0.9    2021-11-12T12:28:03+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:28:33+01:00
 173604 3561.3m   3.4g  13.5m 100.0  21.6    2021-11-12T12:28:33+01:00
 173601 3428.8m   3.2g  13.2m 100.0  20.8    2021-11-12T12:28:33+01:00
 173603  422.2m 333.0m  13.6m 113.3   2.1    2021-11-12T12:28:33+01:00
 173533   22.3g 169.9m  56.2m   0.0   1.1    2021-11-12T12:28:33+01:00
 173602  246.9m 160.1m  13.6m 153.3   1.0    2021-11-12T12:28:33+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:29:03+01:00
 173604 4681.4m   4.2g  13.6m 100.0  26.8    2021-11-12T12:29:03+01:00
 173601 3874.3m   3.4g  13.5m 120.0  21.8    2021-11-12T12:29:03+01:00
 173603  422.6m 334.6m  13.6m 120.0   2.1    2021-11-12T12:29:03+01:00
 173533   22.3g 169.9m  56.2m   0.0   1.1    2021-11-12T12:29:03+01:00
 173602  251.0m 169.1m  13.6m 146.7   1.1    2021-11-12T12:29:03+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:29:33+01:00
 173604 4681.7m   4.0g  13.6m 100.0  25.6    2021-11-12T12:29:33+01:00
 173601 3874.6m   3.4g  13.5m 106.7  21.8    2021-11-12T12:29:33+01:00
 173603  426.1m 339.4m  13.6m 126.7   2.1    2021-11-12T12:29:33+01:00
 173602  293.3m 179.7m  13.6m 126.7   1.1    2021-11-12T12:29:33+01:00
 173533   22.3g 169.9m  56.2m   0.0   1.1    2021-11-12T12:29:33+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:30:04+01:00
 173601 4542.0m   4.0g  13.5m  93.3  26.0    2021-11-12T12:30:04+01:00
 173604 4000.0m   3.5g  13.6m 100.0  22.5    2021-11-12T12:30:04+01:00
 173603  430.2m 344.7m  13.6m 120.0   2.2    2021-11-12T12:30:04+01:00
 173602  301.6m 192.1m  13.6m 140.0   1.2    2021-11-12T12:30:04+01:00
 173533   22.3g 169.9m  56.2m   0.0   1.1    2021-11-12T12:30:04+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:30:34+01:00
 173024 4233.3m 116.8m  58.6m   0.0   0.7    2021-11-12T12:30:34+01:00
 173038 4041.3m 108.6m  55.7m   0.0   0.7    2021-11-12T12:30:34+01:00
