Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation;Hypothesis;SecondsElapsed;Date
blocksworld;move_b_to_t;1;0;0.5;1;25;298;7902;7;5;5;70;855;25;0;1;0.736842;131;2886;58;0;1;0.693122;0;0;0;0;0;0;move_b_to_t(A,B,C):-init_on(A,B,C).;0.292813;04/12/2021 23:30
blocksworld;move_b_to_t;1;0;0.5;1;25;298;7902;7;5;5;70;859;21;0;1;0.769231;131;2886;58;0;1;0.693122;0;0;0;0;0;0;move_b_to_t(A,B,C):-goal_on(F,D,C),init_on(G,E,C),init_on(G,D,C),init_on(A,B,C),goal_on(F,E,C).;214.69548;04/12/2021 23:30
blocksworld;move_b_to_b;1;0;0.5;1;25;298;7902;8;5;5;18;6097;43;142;0.1125;0.295082;41;34241;90;553;0.069024;0.312977;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-init_on(C,A,D),init_on(A,B,D).;0.755526;04/12/2021 23:30
blocksworld;move_b_to_b;1;0;0.5;1;25;298;7902;8;5;5;30;5968;172;130;0.1875;0.148515;91;33703;628;503;0.153199;0.126565;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-goal_on(A,C,D),init_ontable(B,D).;1.031703;04/12/2021 23:30
blocksworld;move_b_to_b;1;0;0.5;1;25;298;7902;8;5;5;33;5973;167;127;0.20625;0.165;85;33802;529;509;0.143098;0.138436;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-init_ontable(C,D),init_on(A,B,D).;1.126203;04/12/2021 23:30
blocksworld;move_b_to_b;1;0;0.5;1;25;298;7902;8;5;5;72;6012;128;88;0.45;0.36;161;33878;453;433;0.271044;0.262215;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-init_clear(C,D),init_on(A,B,D).;1.17036;04/12/2021 23:30
blocksworld;move_t_to_b;1;0;0.5;1;25;298;7902;7;5;5;11;798;84;57;0.161765;0.115789;17;2755;172;131;0.114865;0.089947;0;0;0;0;0;0;move_t_to_b(A,B,C):-init_on(A,B,C).;0.29051;04/12/2021 23:30
blocksworld;move_t_to_b;1;0;0.5;1;25;298;7902;7;5;5;66;860;22;2;0.970588;0.75;148;2869;58;0;1;0.718447;0;0;0;0;0;0;move_t_to_b(A,B,C):-goal_on(A,B,C).;0.323292;04/12/2021 23:30
blocksworld;move_t_to_b;1;0;0.5;1;25;298;7902;7;5;5;59;871;11;9;0.867647;0.842857;135;2897;30;13;0.912162;0.818182;0;0;0;0;0;0;move_t_to_b(A,B,C):-goal_on(A,B,C),init_ontable(A,C). | move_t_to_b(A,B,C):-goal_on(A,D,C),init_on(E,D,C),goal_on(A,B,C),init_on(E,B,C).;778.8025;04/12/2021 23:30
blocksworld;move_t_to_b;1;0;0.5;1;25;298;7902;7;5;5;66;862;20;2;0.970588;0.767442;148;2869;58;0;1;0.718447;0;0;0;0;0;0;move_t_to_b(A,B,C):-goal_on(A,B,C),init_ontable(A,C). | move_t_to_b(A,B,C):-goal_on(F,D,C),goal_on(A,B,C),init_on(G,E,C),init_on(D,E,C),goal_on(F,G,C).;1808.45;04/12/2021 23:30
