Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25786;6;5;5;274;19859;1297;170;0.617117;0.174411;179;18378;937;131;0.577419;0.160394;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.12;5;71;2481;6;5;5;20;1968;37;19;0.512821;0.350877;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;151;5204;6;5;5;42;4117;100;46;0.477273;0.295775;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.38;15;267;8004;6;5;5;95;6055;437;70;0.575758;0.178571;183;18331;984;127;0.590323;0.156812;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;339;11221;6;5;5;119;8528;611;82;0.59204;0.163014;86;18843;472;224;0.277419;0.154122;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.62;25;437;14612;6;5;5;151;11160;777;104;0.592157;0.162716;169;18410;905;141;0.545161;0.157356;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;535;18081;6;5;5;194;13837;950;124;0.610063;0.16958;169;18461;854;141;0.545161;0.1652;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.88;35;634;21858;6;5;5;194;17088;817;190;0.505208;0.191889;82;18904;411;228;0.264516;0.166329;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;1;40;735;25786;5;5;5;138;2270;52;0;1;0.726316;57;1477;25;6;0.904762;0.695122;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.12;5;71;2481;5;5;5;16;232;6;0;1;0.727273;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.25;10;151;5204;5;5;5;30;482;13;0;1;0.697674;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.38;15;267;8004;5;5;5;50;738;19;0;1;0.724638;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.5;20;339;11221;5;5;5;67;1016;27;0;1;0.712766;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.62;25;437;14612;5;5;5;87;1312;29;0;1;0.75;56;1473;29;7;0.888889;0.658824;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.75;30;535;18081;5;5;5;103;1616;36;0;1;0.741007;54;1478;24;9;0.857143;0.692308;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.88;35;634;21858;5;5;5;120;1937;44;0;1;0.731707;56;1473;29;7;0.888889;0.658824;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;5;5;5;150;2259;49;2;0.986842;0.753769;57;1476;26;6;0.904762;0.686747;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.12;5;71;2481;5;5;5;14;236;2;2;0.875;0.875;60;1487;15;3;0.952381;0.8;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;151;5204;5;5;5;31;482;10;2;0.939394;0.756098;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.38;15;267;8004;5;5;5;50;739;16;2;0.961538;0.757576;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;339;11221;5;5;5;69;1016;23;2;0.971831;0.75;59;1473;29;4;0.936508;0.670455;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.62;25;437;14612;5;5;5;92;1306;28;2;0.978723;0.766667;59;1473;29;4;0.936508;0.670455;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;535;18081;5;5;5;111;1606;36;2;0.982301;0.755102;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.88;35;634;21858;5;5;5;127;1930;42;2;0.984496;0.751479;57;1476;26;6;0.904762;0.686747;0;0;0;0;0;0
