Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation
blocksworld;move_b_to_b;2;0;0.2;0.5;20;316;12094;5;5;6;100;9363;528;79;0.558659;0.159236;105;18715;600;205;0.33871;0.148936;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;500;18702;5;5;6;177;14446;871;112;0.612457;0.168893;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25785;5;5;6;152;20770;386;292;0.342342;0.282528;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;156;5884;5;5;6;38;4689;118;51;0.426966;0.24359;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;316;12094;5;5;7;100;9363;528;79;0.558659;0.159236;105;18715;600;205;0.33871;0.148936;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;500;18702;5;5;7;177;14446;871;112;0.612457;0.168893;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25785;5;5;7;152;20770;386;292;0.342342;0.282528;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;156;5884;5;5;7;38;4689;118;51;0.426966;0.24359;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;316;12094;5;5;8;100;9363;528;79;0.558659;0.159236;105;18715;600;205;0.33871;0.148936;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;500;18702;5;5;8;177;14446;871;112;0.612457;0.168893;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25785;5;5;8;152;20770;386;292;0.342342;0.282528;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;156;5884;5;5;8;38;4689;118;51;0.426966;0.24359;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;316;12094;5;5;9;100;9363;528;79;0.558659;0.159236;105;18715;600;205;0.33871;0.148936;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;500;18702;5;5;9;177;14446;871;112;0.612457;0.168893;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
