Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25786;5;6;5;256;19918;1238;188;0.576577;0.171352;87;18731;584;223;0.280645;0.129657;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;169;5872;5;6;5;40;4715;88;53;0.430108;0.3125;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;347;12064;5;6;5;110;9342;523;95;0.536585;0.173776;105;18715;600;205;0.33871;0.148936;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;562;18641;5;6;5;206;14388;870;142;0.591954;0.19145;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25786;5;7;6;151;20770;386;293;0.34009;0.281192;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;169;5872;5;7;6;40;4715;88;53;0.430108;0.3125;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;347;12064;5;7;6;94;9589;276;111;0.458537;0.254054;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;562;18641;5;7;6;192;14398;860;156;0.551724;0.18251;109;18720;595;201;0.351613;0.15483;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25786;6;8;7;259;19960;1196;185;0.583333;0.178007;100;18755;560;210;0.322581;0.151515;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;169;5872;6;8;7;40;4715;88;53;0.430108;0.3125;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;347;12064;6;8;7;94;9589;276;111;0.458537;0.254054;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;562;18641;6;8;7;206;14387;871;142;0.591954;0.191272;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25786;6;9;7;261;19938;1218;183;0.587838;0.176471;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;169;5872;6;9;7;40;4715;88;53;0.430108;0.3125;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;347;12064;6;9;7;94;9590;275;111;0.458537;0.254743;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;562;18641;6;9;7;157;14765;493;191;0.451149;0.241538;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25786;6;1;8;259;19961;1195;185;0.583333;0.178129;100;18755;560;210;0.322581;0.151515;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;169;5872;6;1;8;40;4715;88;53;0.430108;0.3125;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
